index	*ID	version	enabled	*Skip Generation	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Toothrow	887	100	1				0	1	56	33	4ld	Sharktooth Armor		3	5000	whit	whit						tinkerflag2		25	35	gethit-skill	Phantom Hatchets	33	40	str		50	100	hp%		20	40	ac%		200	300	skill	Leap Attack	10	20	red-dmg		20	40																						0
Atma's Wail	888	100	1				0	1	59	35	4th	Embossed Plate		3	5000								tinkerflag2		25	35	gethit-skill	Howl	17	30	pierce-res-all		30	40	enr		40	80	enepercent		20	30	mag%		50	100	ac%		200	300	balance2		50	50																		0
Black Hades	889	100	1				0	1	61	37	4ul	Chaos Armor		3	5000								tinkerflag2		25	35	light		-20	-20	aura	Aura of Divinity	5	20	sock		2	2	spell-damage		20	30	cast2		30	30	swing2		30	30	move2		30	30																		0
Corpsemourn	890	100	1				0	1	63	38	4ar	Ornate Armor		3	5000	blac	blac						tinkerflag2		25	35	hit-skill	Corpse Explosion	5	40	ease		200	200	gethit-skill	Weaken	15	50	res-cold		50	60	res-pois		50	60	all-stats-percent		30	40	heal-kill		150	200																		0
Que-Hegan's Wisdon	891	100	1				0	1	59	35	4tp	Mage Plate		3	5000								tinkerflag2		25	35	allskills		1	3	enepercent		80	100	hp		-100	-50	ease		-100	-100	mana-kill		40	60	mana		50	200																						0
Visceratuant	892	100	1				0	1	36	25	4uc	Defender		3	5000	dred							tinkerflag2		25	35	sor		1	2	block2		50	50	block		10	10	sock		2	2	res-all		40	60	enr		20	40																						0
Mosers Blessed Circle	893	100	1				0	1	39	31	4ml	Round Shield		3	5000								tinkerflag2		25	35	res-all		40	50	block		5	10	block2		30	30	sock		3	3																														0
Stormchaser	894	100	1				0	1	43	25	4rg	Scutum		3	5000	cblu	cblu						tinkerflag2		25	35	move2		50	50	nofreeze		1	1	gethit-skill	Pole Arm Mastery	5	30	pierce-ltng		20	30	lightningskill		1	1	res-ltng		40	50	res-cold		40	50	att-skill	Static Field	17	30														0
Tiamat's Rebuke	895	100	1				0	1	46	26	4it	Dragon Shield		3	5000	lgry	lgry						tinkerflag2		25	35	dmg-elem-min		1	10	dmg-elem-max		900	1000	pierce-res-all		20	30	res-all		20	30	str		80	100	block2		50	50	sock		1	1																		0
Kerke's Sanctuary	896	100	1				0	1	52	30	4ow	Pavise		3	5000	lgrn	lgrn						tinkerflag2		25	35	aura	Sanctuary	10	20	dmg-undead		100	400	dmg-demon		100	400	allskills		1	1	swing2		40	50	item-skill-cooldown		10	20																						0
Radimant's Sphere	897	100	1				0	1	58	35	4ts	Ancient Shield		3	5000								tinkerflag2		25	35	poisonskill		2	4	res-pois		75	75	cast2		10	20	pierce-pois		10	20	hp		80	100	red-dmg%		10	20	res-mag		10	20																		0
Lidless Wall	898	100	1				0	1	49	28	4sh	Grim Shield		3	5000	dgld	dgld						tinkerflag2		25	35	light		5	10	allskills		1	2	cast2		20	30	mana-kill		20	50	ac%		100	200	enr		40	50	mana%		40	50																		0
Lance Guard	899	100	1				0	1	43	25	4pk	Barbed Shield		3	5000								tinkerflag2		25	35	thorns/lvl	160			deadly		33	33	hp%		20	30	balance2		30	30	block2		30	30	red-dmg		20	30	res-mag		20	30																		0
Venom Grip	900	100	1				0	1	37	25	4lg	Demonhide Gloves		5	5000	dgrn							tinkerflag2		25	35	pierce-pois		15	25	sock		2	2	hit-skill	Poison Dagger Proc	1	20	crush		20	30	swing2		20	20																										0
Gravepalm	901	100	1				0	1	39	25	4vg	Sharkskin Gloves		5	5000								tinkerflag2		25	35	dmg-undead		400	500	dmg-demon		400	500	rip		1	1	heal-kill		80	100	mana-kill		40	50	cast2		30	30	ac%		100	150																		0
Ghoulhide	902	100	1				0	1	44	25	4mg	Heavy Bracers		5	5000								tinkerflag2		25	35	gethit-skill	Cyclone Armor	15	30	gethit-skill	Bone Armor	15	30	gethit-skill	Teleport	5	30	regen		800	1000	regen-mana		100	150	move2		30	40	ac%		200	250	hit-skill	Decrepify	3	30														0
Lavagout	903	100	1				0	1	50	29	4tg	Battle Guantlets		5	5000	lyel							tinkerflag2		25	35	att-skill	SEruption	15	30	pierce-fire		15	20	nofreeze		1	1	res-fire		60	80	fireskill		1	3	balance2		30	40	ac%		100	150																		0
Hellmouth	904	100	1				0	1	55	32	4hg	War Gauntlets		5	5000								tinkerflag2		25	35	ease		300	300	dmg-fire		800	1000	hit-skill	Rain of Fire	2	40	hit-skill	Fire Ball	4	40	hit-skill	Fire Bolt	4	40	life-on-striking		3	5	hp%		20	40	pierce-fire		10	25														0
Infernostride	905	100	1				0	1	37	25	4lb	Demonhide Boots		5	5000								tinkerflag2		25	35	gethit-skill	Spike Nova Fire	50	25	pierce-fire		10	20	dmg-min		10	40	regen		400	500	abs-fire%		4	5	move2		30	50																						0
Waterwalk	906	100	1				0	1	40	25	4vb	Sharkskin Boots		5	5000								tinkerflag2		25	35	stam		150	220	res-all-max		2	3	all-stats-percent		10	20	move2		20	30	vit		60	80	ac%		180	200	vitpercent		15	20																		0
Silkweave	907	100	1				0	1	44	25	4mb	Mesh Boots		5	5000								tinkerflag2		25	35	mana-on-striking		2	5	mana-kill		20	30	move2		30	30	cast2		30	30	ac%		80	120	kill-skill	Time Stop	50	40																						0
Wartraveler	908	100	1				0	1	50	35	4tb	Battle Boots		5	5000								tinkerflag2		25	35	move2		-30	-30	dmg-norm		50	75	ease		150	150	vit		80	100	str		80	100	stam		150	220	kill-skill	Find Potion	5	25	ac%		250	350	stam/lvl	48												0
Gorerider	909	100	1				0	1	55	39	4hb	War Boots		5	5000	dred							tinkerflag2		25	35	crush		40	40	deadly		40	40	move2		40	40	ac%		200	300	hit-skill	Whirlwind Proc	1	1	hit-skill	Axe Proc	10	30	move2		20	40																		0
String of Ears	910	100	1				0	1	37	29	5lb	Demonhide Sash		5	5000	lred							tinkerflag2		25	35	gethit-skill	Taunt	17	30	red-mag		15	20	red-dmg		15	20	red-dmg%		10	20	lifesteal		10	20	ac		100	150	balance2		30	30																		0
Razortail	911	100	1				0	1	39	25	5vb	Sharkskin Belt		5	5000								tinkerflag2		25	35	dmg-norm		20	30	dexpercent		20	30	move2		20	30	pierce		100	100	hp		50	100	thorns/lvl	64			ac%		120	180																		0
Gloomstrap	912	100	1				0	1	45	25	5mb	Mesh Belt		5	5000								tinkerflag2		25	35	regen-mana		100	200	mana-on-striking		4	8	dmg-to-mana		200	300	regen		400	500	enepercent		20	30	mana%		20	30																						0
Snowclash	913	100	1				0	1	49	29	5tb	Battle Belt		5	5000								tinkerflag2		25	35	coldskill		1	3	pierce-cold		15	20	res-cold		60	75	res-cold-max		3	5	abs-cold%		3	5	skill	Blizzard	20	30																						0
Thudergod's Vigor	914	100	1				0	1	55	39	5hb	War Belt		5	5000								tinkerflag2		25	35	lightningskill		1	2	pierce-ltng		15	20	gethit-skill	SNova	50	40	kill-skill	Mace Mastery	17	40	abs-ltng%		3	5	oskill	Lightning Mastery	1	1																						0
Harlequin Crest	915	100	1				0	1	69	55	uap	Shako		3	5000	cgrn	cgrn						tinkerflag2		25	35	allskills		1	3	hp/lvl	24			mana/lvl	24			mag%		50	150	red-dmg%		10	30	all-stats-percent		1	50	sock		0	2																		0
Veil of Steel_lod	916	100	1				0	1	77	58	uhm	Spired Helm		3	5000	lgry	lgry						tinkerflag2		25	35	aura	Defiance	10	20	res-all-max		4	5	red-dmg%		20	30	balance2		60	80	all-stats-percent		10	20	all-stats		20	30	ac%		300	400	regen		800	1000														0
The Gladiator's Bane	917	100	1				0	1	85	68	utu	Wire Fleece		3	5000	lgry	lgry						tinkerflag2		25	35	nofreeze		1	1	red-dmg		30	40	red-mag		30	40	gethit-skill	Axe Proc	100	40	ac%		120	200	regen		900	1200	thorns		1000	2000	thorns/lvl	160			dmg-norm		10	20										0
Arkaine's Valor_lod	918	100	1				0	1	85	76	upl	Balrog Skin		3	5000	lred	lred						tinkerflag2		25	35	allskills		1	5	vitpercent		20	30	balance2		30	50	ac%		200	300	red-dmg%		10	20	all-stats		100	200																						0
Blackoak Shield	919	100	1				0	1	67	48	uml	Luna		3	5000								tinkerflag2		25	35	gethit-skill	Cloak of Shadows	25	50	aura	Sanctuary	10	20	extra-mag2		10	30	dex		50	100	hp/lvl	16			balance2		50	50	ac%		150	220	dmg-undead		200	1000														0
Stormshield_lod	920	100	1				0	1	77	65	uit	Monarch		3	5000								tinkerflag2		25	35	red-dmg%		30	30	pierce-ltng		30	40	hit-skill	Chain Lightning	10	60	block		5	10	block2		50	50	balance2		50	50	ac%		250	350	indestruct		1	1	res-cold		75	75	res-ltng		75	75	gethit-skill	Super Nova	20	60		0
Hellslayer	921	100	1				0	1	71	52	7bt	Decapitator		5	5000	dred	dred						tinkerflag2		25	35	hit-skill	Fire Enhanced Fury	5	45	pierce-fire		50	70	hp%		40	50	strpercent		20	50	vit		80	100	dmg%		200	300	dmg%/lvl	16			lifesteal		20	30														0
Messerschmidt's Reaver_lod	922	100	1				0	1	75	56	7ga	Champion Axe		5	5000	blac	blac						tinkerflag2		25	35	str		-100	-100	strpercent		150	250	reduce-ac		100	100	hit-skill	Axe Proc	15	30	hp		200	300	dmg%		400	500	oskill	Battle Orders	20	30																		0
Baranar's Star	923	100	1				0	1	70	52	7mt	Devil Star		5	5000	lred	lred						tinkerflag2		25	35	att-skill	Vengeance Proc	25	50	pierce-res-all		40	50	dmg-elem	200	1500	2000	swing2		50	50	hit-skill	Fire Enhanced Axe	5	20	hit-skill	Cold Enhanced Axe	5	20	hit-skill	Lightning Enhanced Axe	5	20	life-on-striking		5	10	dmg%		300	400										0
Schaefer's Hammer_lod	924	100	1				0	1	83	71	7wh	Legendary Mallet		5	5000	lblu	lblu						tinkerflag2		25	35	hit-skill	Static Field	5	40	pierce-ltng		40	60	hit-skill	Lightning Enhanced Axe	20	30	res-ltng		75	75	hp		150	200	dmg%/lvl	24			dmg-max		80	100	dmg/lvl	16			indestruct		1	1	dmg-ac		-100	-100						0
The Cranium Basher	925	100	1				0	1	85	69	7gm	Thunder Maul		5	5000	blac	blac						tinkerflag2		25	35	crush		100	100	str		200	300	indestruct		1	1	dmg%		500	500	hit-skill	Amplify Damage	5	50	res-all		50	50	att-skill	Stun Proc	50	40	oskill	Increased Stamina	10	15	oskill	Natural Resistance	1	1										0
Lightsabre	926	100	1				0	1	66	46	7cr	Phase Blade		5	5000	lblu							tinkerflag2		25	35	hit-skill	Lightning Strike	2	40	aura	Conviction	10	25	dmg-ltng		1	2000	abs-ltng%		3	5	dmg%		300	400	dmg-norm		30	50	mana-on-striking		4	6	ignore-ac		1	1	pierce-ltng		20	30	res-mag		20	30						0
Doombringer	927	100	1				0	1	75	55	7b7	Champion Sword		5	5000	dred	dred						tinkerflag2		25	35	att-skill	Frozen Orb	10	50	att-skill	Rain of Fire	10	50	att-skill	Thunder Storm Sorc	10	50	pierce-res-all		40	50	hp%		80	100	life-on-striking		20	30	mana-on-striking		5	10	swing2		50	50	red-dmg		40	50										0
The Grandfather_lod	928	100	1				0	1	85	72	7gd	Colossus Blade		5	5000	lyel	lyel						tinkerflag2		25	35	dmg%/lvl	32			dmg/lvl	24			indestruct		1	1	hp		400	500	swing2		-50	-50	hit-skill	Stun Proc	2	40	all-stats-percent		40	50	att-skill	Bash Proc	33	40	dmg%		100	200										0
Wizardspike_lod	929	100	1				0	1	69	58	7dg	Bone Knife		5	5000	lgry	lgry						tinkerflag2		25	35	mana/lvl	40			regen-mana		200	200	mana%		40	50	res-all		75	75	cast3		50	50	oskill	Teleport	1	1	res-all-max		2	5	spell-damage		10	50														0
Constricting Ring	930	100	1				0	1	95	95	rn9	Ring		5	5000	cblu	cblu						res-all		100	100	regen		-30	-30	mag%		200	200	res-all-max		2	7	allskills		1	1																														0
Stormspire	931	100	1				0	1	78	76	7wc	Giant Thresher		5	5000	dblu	dblu						tinkerflag2		25	35	oskill	Lightning Mastery	1	1	pierce-ltng		40	60	kill-skill	Judgement Proc	25	50	ease		100	100	swing2		50	50	dmg-ltng		1	3000	dmg%		300	400	dmg-max		100	120	res-ltng		75	75	hit-skill	Lightning Enhanced Axe	13	30						0
Eaglehorn_lod	932	100	1				0	1	77	55	6l7	Crusader Bow		5	5000	dgld	dgld						tinkerflag2		25	35	swing2		100	100	dex		300	400	dexpercent		80	100	ease		500	500	dmg%		300	400	dmg%/lvl	16			dmg/lvl	16			hit-skill	Arrow Hit Skill	20	40														0
Windforce	933	100	1				0	1	80	65	6lw	Hydra Bow		5	5000	dyel	dyel						tinkerflag2		25	35	knock		1	1	dmg/lvl	32			dmg%		50	100	swing2		50	50	move2		50	50	hit-skill	Tornado Shot	1	60	crush		50	50	deadly		50	50	dmg%/lvl	32			hit-skill	Arrow Hit Skill Pierce	5	60						0
Bul Katho's Wedding Band	934	100	1				0	1	66	58	rn9	Ring		5	5000	dpur	dpur						allskills		1	1	oskill	Increased Stamina	10	20	oskill	Natural Resistance	10	20	stam		150	200	red-dmg		50	50	red-mag		30	30	lifesteal		20	20	strpercent		20	30																		0
The Cat's Eye	935	100	1				0	1	58	50	au9	Amulet		5	5000	oran	oran						move2		50	50	swing2		30	30	dex		80	120	oskill	Quickness	10	20	oskill	Dodge	1	1	dexpercent		20	40																										0
The Rising Sun_lod	936	100	1				0	1	73	65	au9	Amulet		5	5000	lgld	lgld						fireskill		2	4	dmg-fire		400	500	regen		600	800	pierce-fire		15	20	abs-fire%		4	5	oskill	Fire Mastery	1	10																										0
Crescent Moon	937	100	1				0	1	58	50	au9	Amulet		5	5000	lblu	lblu						extra-mag2		20	30	dmg-to-mana		100	150	kill-skill	Fist of the Heavens	20	40	life-on-striking		3	5	mana-on-striking		2	3	res-mag		20	30	dmg-demon		100	300	dmg-undead		100	300	magicskill		1	3														0
Mara's Kaleidoscope	938	100	1				0	1	80	67	au9	Amulet		5	5000	oran	oran						allskills		2	2	all-stats-percent		30	40	res-all		40	50																																						0
Atma's Scarab	939	100	1				0	1	60	60	au9	Amulet		5	5000	cgrn	cgrn						hit-skill	Poison Mastery	3	45	res-pois-len		75	75	res-pois		75	75	hit-skill	Poison Dagger Proc	1	40	dmg-ac		-50	-50	slow		20	40																										0
Dwarf Star	940	100	1				0	1	53	45	rn9	Ring		5	5000	dgry	dgry						abs-fire%		3	5	hp		80	100	red-mag		15	25	red-dmg		15	25	gold%		200	200	str		100	300																										0
Raven Frost	941	100	1				0	1	53	45	rn9	Ring		5	5000	cblu	cblu						nofreeze		1	1	freeze		3	3	abs-cold%		3	5	att		300	400	mag%		100	100	dex		100	300																										0
Highlord's Wrath	942	100	1				0	1	73	65	au9	Amulet		5	5000	bwht	bwht						allskills		1	2	dmg-min		30	50	dmg-max		40	60	deadly		50	100	gethit-skill	Taunt	5	60	lifesteal		20	40																										0
Saracen's Chance	943	100	1				0	1	55	47	au9	Amulet		5	5000	dpur	dpur						kill-skill	Find Potion	33	60	gold%		150	200	res-all		30	40	all-stats		40	50	gethit-skill	Howl	50	60	extra-mag2		10	30	extra-wind		10	30																						0
Arreat's Face_lod	944	100	1				0	1	50	42	qba	Slayer Guard		5	5000								tinkerflag2		25	35	res-all-max		4	5	res-all		40	50	bar		2	2	sock		2	2	dmg-norm		20	30	hit-skill	Fury Proc	1	60	dmg%		50	100	lifesteal		10	20	strpercent		20	30	dexpercent		20	30						0
Homunculus_lod	945	100	1				0	1	50	42	qna	Heirophant Trophy		5	5000								tinkerflag2		25	35	allskills		1	3	oskill	Natural Resistance	1	10	block		5	10	block2		50	50	oskill	Poison Mastery Passive	1	10	mana-kill		20	40	enepercent		20	30	oskill	Magic Mastery	1	10	abs-elem%		1	3										0
Titan's Revenge_lod	946	100	1				0	1	50	42	q79	Ceremonial Javelin		5	5000								tinkerflag2		25	35	skilltab	2	3	6	pierce-fire		10	40	pierce-cold		10	40	pierce-ltng		10	40	pierce-pois		10	40	swing2		50	50	move2		50	50	hit-skill	Time Stop	1	40														0
Lycander's Aim_lod	947	100	1				0	1	50	42	q77	Ceremonial Bow		5	5000								tinkerflag2		25	35	reduce-ac		25	75	hit-skill	Arrow Hit Skill	30	20	dmg-min		50	100	ease		100	200	dex		50	100	ama		2	4																						0
Lycander's Flank_lod	948	100	1				0	1	50	42	q78	Ceremonial Pike		5	5000								tinkerflag2		25	35	skill	Fend	10	30	gethit-skill	Fend	50	30	lifesteal		10	30	swing2		20	40	dmg-max		100	150	dmg%/lvl	24			oskill	Blade Nova	1	10																		0
The Oculus_lod	949	100	1				0	1	50	42	q83	Swirling Crystal		5	5000								tinkerflag2		25	35	kill-skill	Fire Surge	15	30	kill-skill	Cold Surge	15	30	kill-skill	Lightning Surge	15	30	pierce-fire		10	30	pierce-cold		10	30	pierce-ltng		10	30	cast2		20	40	sor		1	3	gethit-skill	Time Lapse	5	10										0
Herald of Zakarum_lod	950	100	1				0	1	50	42	qp9	Guilded Shield		5	5000								tinkerflag2		25	35	pal		1	2	skilltab	9	2	6	ac%		200	300	block2		50	50	block		5	5	res-all		50	75	reduce-ac		50	50	item-skill-cooldown		10	20														0
Cutthroat1	951	100	1				0	1	50	42	q73	Greater Talons		5	5000								tinkerflag2		25	35	ass		1	2	skilltab	20	1	4	balance2		30	30	dex		40	50	lifesteal		15	20	dmg-min		80	120	swing2		30	30	ignore-demon-resist		1	1	dmg-undead		200	500										0
Jalal's Mane_lod	952	100	1				0	1	50	42	qda	Totemic Mask		5	5000								tinkerflag2		25	35	dru		1	2	res-all		40	40	kill-skill	Wind Surge	15	30	all-stats		20	30	ac%		200	300	extra-wind		20	40	enr		40	80																		0
The Scalper	953	100	1				0	1	65	45	q72	Francisca		5	5000								tinkerflag2		25	35	rep-quant	33			dmg%		250	300	dmg-norm		20	30	hit-skill	Axe Proc	20	20	dmg-ac		-50	-50	reduce-ac		50	50	deadly		33	33																		0
Bloodmoon	954	100	1				0	1	69	48	7sb	Elegant Blade		5	5000	cred	cred						tinkerflag2		25	35	dmg%		300	400	kill-skill	Fury Proc	50	30	swing2		30	30	life-on-striking		10	15	lifesteal		20	30	deadly		40	80	dmg-max		40	80																		0
Djinnslayer	955	100	1				0	1	73	52	7sm	Ataghan		5	5000	dpur	dpur						tinkerflag2		25	35	sock		1	2	abs-ltng		30	40	dmg-norm		125	150	manasteal		10	15	pierce-fire		20	30	pierce-ltng		20	30	hit-skill	Fire Enhanced Axe	15	20	hit-skill	Lightning Enhanced Axe	15	20														0
Deathbit	956	100	1				0	1	52	35	q71	Battle Dart		5	5000								tinkerflag2		25	35	hit-skill	Axe Proc	40	20	swing2		40	40	deadly		50	50	life-on-striking		3	5	mana-on-striking		2	3	dmg%		150	250	rep-quant	33																				0
Warshrike	957	100	1				0	1	83	60	7bk	Winged Knife		5	5000	bwht	bwht						tinkerflag2		25	35	deadly		100	100	ease		300	300	hit-skill	Multiple Shot	3	30	pierce		100	100	hit-skill	Axe Proc	20	30	rep-quant	33			knock		1	1	swing2		50	50	dmg%/lvl	40			dmg-max		50	100						0
Gutsiphon	958	100	1				0	1	79	56	6rx	Demon Crossbow		5	5000	lgrn	lgrn						tinkerflag2		25	35	hit-skill	Shuriken Trap No Pierce	2	25	hit-skill	Inner Sight	3	30	dmg%		300	400	dmg/lvl	24			swing2		40	40	slow		40	40	deadly		50	50	dexpercent		40	50	oskill	765	1	1										0
Razoredge	959	100	1				0	1	75	53	7ha	Tomahawk		5	5000	lblu							tinkerflag2		25	35	gethit-skill	Spike Nova Proc	25	30	deadly		50	100	dmg-min		100	200	dmg%		100	200	thorns/lvl	160			aura	Thorns	10	20																						0
Demonlimb	960	100	1				0	1	71	50	7sp	tyrant club		5	5000	dgrn	dgrn						tinkerflag2		25	35	oskill	Enchant	3	3	skill	Enchant	17	27	hit-skill	Fire Surge	3	45	pierce-fire		20	30	oskill	Fire Mastery	10	20	heal-kill		50	100	hit-skill	Fire Bolt	5	60																		0
Steelshade	961	100	1				0	1	70	49	ulm	armet		5	5000	blac	blac						tinkerflag2		25	35	abs-elem		10	20	allskills		1	2	mana-on-striking		4	8	ac%		300	400	move2		30	30	regen		800	1000	regen-mana		100	150	aura	Resist Lightning	5	15														0
Tomb Reaver	962	100	1				0	1	86	84	7pa	cryptic axe		5	5000	lyel	lyel						tinkerflag2		25	35	sock		1	6	dmg%		200	250	swing2		100	100	mag%		1	300	kill-skill	Find Potion	5	40	dmg-undead		300	400	dmg-demon		300	400	res-all		30	50	ethereal		1	1										0
Deaths's Web	963	100	1				0	1	74	72	7gw	unearthed wand		5	5000	bwht	bwht						tinkerflag2		25	35	allskills		2	2	pierce-pois		40	60	heal-kill		80	100	mana-kill		40	50	kill-skill	Poison Nova	10	60	oskill	Poison Mastery Passive	1	1	kill-skill	Poison Surge	33	60																		0
Nature's Peace	964	100	1				0	1	77	69	rn9	ring		5	5000	dgrn	dgrn						oskill	Summon Grizzly	10	20	extra-summ		10	30	abs-mag		1	3	abs-elem%		1	3	rip		1	1	reanimate	935	10	20	dmg%		50	150																						0
Azurewrath	965	100	1				0	1	87	76	7cr	phase blade		5	5000	lgry	lgry						tinkerflag2		25	35	aura	Sanctuary	20	40	freeze		30	30	hit-skill	Magic Enhanced Axe	25	30	extra-mag2		40	50	all-stats-percent		20	30	swing2		50	50	allskills		2	4	dmg-undead		400	800	dmg-demon		400	800										0
Seraph's Hymn	966	100	1				0	1	73	65	au9	amulet		5	5000	bwht	bwht		invamu2				allskills		1	3	kill-skill	Battle Orders	5	40	kill-skill	Battle Command	5	40	kill-skill	Shout	5	40	gethit-skill	Taunt	5	60	gethit-skill	Howl	5	60	nofreeze		1	1	oskill	Magic Mastery	1	10																		0
Fleshripper	967	100	1				0	1	76	54	7kr	fanged knife		5	5000	dred	dred						tinkerflag2		25	35	deadly		50	50	crush		50	50	dmg-ac		-200	-200	dmg-min		150	250	hit-skill	Crucify Proc	2	60	kill-skill	Spike Nova Proc	17	40																						0
Horizon's Tornado	968	100	1				0	1	72	51	7fl	scourge		5	5000	dpur	dpur						tinkerflag2		25	35	att-skill	STwister	100	60	hit-skill	Inner Sight	2	40	swing2		50	50	move2		50	50	all-stats		40	50	red-dmg%		20	30	hp		100	150	oskill	Sharpened Focus	30	60														0
Stone Crusher	969	100	1				0	1	76	54	7wh	legendary mallet		5	5000	whit							tinkerflag2		25	35	att-skill	Bash Proc	33	40	dmg%/lvl	24			dmg/lvl	24			dmg-ac		-100	-100	str		120	150	red-dmg		40	50	res-all-max		2	4	crush		50	75														0
Jadetalon	970	100	1				0	1	74	52	q74	wrist sword		5	5000	cgrn	cgrn						tinkerflag2		25	35	hit-skill	Poison Dagger Proc Proc	3	50	pierce-pois		40	50	extra-pois		80	100	dmg%		300	400	dmg-norm		30	40	swing2		50	50	res-all		40	50	mana-on-striking		5	10														0
Shadowdancer	971	100	1				0	1	79	56	uhb	myrmidon greaves		5	5000	blac	blac						tinkerflag2		25	35	ass		2	3	balance2		30	50	move2		30	50	hit-skill	Cloak of Shadows	5	50	dexpercent		20	40	red-dmg%		10	20	gethit-skill	Time Lapse	1	20																		0
Cerebus	972	100	1				0	1	71	50	qdb	blood spirit		5	5000	bwht	bwht						tinkerflag2		25	35	hit-skill	Wind Surge	2	50	lifesteal		20	40	hit-skill	Sandstorm	2	60	hit-skill	Inner Sight	2	40	dmg-max		30	50	ac%		123	345	swing2		10	20																		0
Tyrael's Might	973	100	1				0	1	87	67	uar	sacred armor		5	5000	dblu	dblu						tinkerflag2		25	35	ease		500	500	nofreeze		1	1	all-stats-percent		60	80	res-all-max		3	5	dmg-demon		800	1000	indestruct		1	1	aura	Redemption	25	30	hp%		40	50	mana%		40	50	ac%		400	500						0
Souldrain	974	100	1				0	1	82	59	umg	vambraces		5	5000	dred	dred						tinkerflag2		25	35	ac%		150	200	manasteal		15	20	lifesteal		15	20	hit-skill	Weaken	3	45	dmg-ac		-100	-100	life-on-striking		5	10	mana-on-striking		2	4																		0
Runemaster	975	100	1				0	1	80	72	72a	ettin axe		5	5000	lblu	lblu						tinkerflag2		25	35	dmg%		250	300	res-all-max		2	4	nofreeze		1	1	sock		6	6	aura	Defiance	10	20	gethit-skill	Concentrate Proc	50	40																						0
Deathcleaver	976	100	1				0	1	78	56	7wa	berserker axe		5	5000	dred							tinkerflag2		25	35	dmg%		300	400	deadly		66	66	reduce-ac		66	66	swing2		40	40	heal-kill		100	200	kill-skill	Whirlwind Proc	33	40	dmg-min		100	200	kill-skill	Taunt	17	60														0
Executioner's Justice	977	100	1				0	1	83	60	7gi	glorious axe		5	5000	blac	blac						tinkerflag2		25	35	crush		100	100	dmg-max		200	400	dmg%/lvl	32			kill-skill	Fury Proc	33	60	ease		400	500	hit-skill	Stun Proc	2	40	heal-kill		200	300																		0
Stoneraven	978	100	1				0	1	72	51	q81	matriarchal spear		5	5000	dgry							tinkerflag2		25	35	dmg%		400	500	att-skill	Stun Proc	50	40	res-all		40	50	ac		800	1000	oskill	Shout	15	30	red-dmg		40	50	red-dmg%		40	50	oskill	Taunt	10	30	abs-elem		20	30										0
Leviathan	979	100	1				0	1	73	52	uld	kraken shell		5	5000	cgrn	cgrn						tinkerflag2		25	35	ac%		400	500	ac		400	500	red-dmg%		30	40	str		40	50	strpercent		40	50	ease		400	500	indestruct		1	1	hp%		40	50	gethit-skill	Spike Nova Proc	100	40										0
Wisp	980	100	1				0	1	84	76	rn9	ring		5	5000	bwht	bwht						abs-ltng%		3	5	oskill	Teleport	1	1	res-mag		5	10	reanimate	935	10	15	aura	Lightning Damage Aura	1	10	pierce-ltng		10	15	lightningskill		0	3																						0
Gargoyle's Bite	981	100	1				0	1	78	56	7ts	winged harpoon		5	5000	cgrn	cgrn						tinkerflag2		25	35	dmg-pois	256	20000	30000	pierce-pois		40	50	life-on-striking		5	10	kill-skill	Poison Surge	33	60	oskill	Poison Mastery Passive	1	1	hp		123	321	kill-skill	Headhunter Elemental Damage	1	1																		0
Lacerator	982	100	1				0	1	76	54	7b8	winged axe		5	5000	blac	blac						tinkerflag2		25	35	hit-skill	Amplify Damage	3	50	hit-skill	Fury Proc	3	60	dmg-max		100	300	dmg%/lvl	32			hit-skill	Axe Proc	20	30	lifesteal		20	40	att		100	500	att%		100	200														0
Mang Song's Lesson	983	100	1				0	1	86	65	6ws	archon staff		5	5000	dgld	dgld						tinkerflag2		25	35	allskills		3	7	addxp		40	50	cast2		40	50	pierce-res-all		40	50	oskill	370	1	1	oskill	Fire Mastery	1	1	oskill	Lightning Mastery	1	1	kill-skill	Fire Surge	10	60	kill-skill	Cold Surge	10	60	kill-skill	Lightning Surge	10	60	kill-skill	Time Lapse	100	1		0
Viperfork	984	100	1				0	1	79	56	7br	war fork		5	5000	dgrn	dgrn						tinkerflag2		25	35	dmg-pois	25	65536	131072	oskill	Poison Mastery Passive	1	20	pierce-pois		30	50	life-on-striking		3	5	swing2		30	50	res-pois-len		50	100	res-pois-max		3	5	all-stats-percent		10	30	allskills		2	5										0
Ethereal Edge	985	100	1				0	1	82	59	7ba	silver-edged axe		5	5000	whit	whit						tinkerflag2		25	35	rep-dur	1			ethereal		1	1	kill-skill	Spike Nova Proc	33	40	hit-skill	Amplify Damage	3	50	dmg%/lvl	16			dmg/lvl	16			dmg%		100	200	swing2		80	80	ignore-demon-resist		1	1	ignore-undead-resist		1	1						0
