skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Cold Damage Aura	876		cold damage aura		65																		73731	colddamageaura	colddamageaura		ln12	passive_cold_mastery	lvl*5																																																																																																	1	1	6		none														xx																	1													1	20								1						0	1					0	8	0	0	1	1	1		10																			15	radius	1	additional radius per level																					1								8																																						0
Cold Pierce Aura	877		cold pierce aura		66																		41603	coldpierceaura	coldpierceaura		"min(ln12,30)"	coldresist	-lvl																																																																																																		1	6		none														xx																	1													30	20								1						0	1					0	8	0	0	1	1	1		10																			15	radius	1	additional radius per level																					1								8																																						0
Lightning Strafe	878		lightning strafe	8	12													lightningstrafe	lightningstrafe								par5																																																																				amazon_dodge_1				paladin_charge									13	20						lightningstrafe	lightningstrafe											1	0		rng		miss										A1	A1	A1				1													1			1										30	20													skill('Attack'.clc6)	1	1					1	7	12	1												min(20,(5+lvl/4))	#missiles	ln12	damage %	min(20,(5+lvl/4))	min # missiles							10	Damage increase	10	Damage increase per level					35	Radius	15	% frame rollback			15	damage synergy									1	10		10*lvl					8	128																																					0
Summon Curse Immunity	879		summon curse immunity																				73731	curseimmunity	curseimmunity		30	curse_resistance	100																																																																																																	1	1	6		none														xx																	1													30	20								1						0	0					0	8	0	0	1	1							1																																							1								8																																						0
Emberquake	880		emberquake	6	11													emberquake	emberquake	emberquake																																																																																									19						emberquake	emberquake	emberquake										1	8		h2h												A2	A2	A1				1											1		1			1					1					30	20												clc6		1	1					1	8	5	1	1											1										max(30,(150*100-150*stat('item_skill_cooldown'.accr))/100)																										1	15		15*lvl					8	64																																					0
Incinerate	881		incinerate	11	19													incinerate					3		red	50+3*lvl	50	fireresist	-10-lvl/2																																																																		diablo_laser_cast									diablo_laser_cast	fire_cast_2			15	24						incinerate												1	0		rng												SQ	SQ	A1	18	10															1	1	1	1										30	20								1						1	1	1			6	0	7	12	1	1											1	Range (Duration of Missile) (Min=1)	20	Duration to channel if caster is a Monster (Min=1)									35	Range baseline (Duration of missile)	2	Range per level (Duration of missile)	4	Min Mana required to start casting									6	Damage synergy									1								5															fire	4	4	5	6	6	6	5	5	6	7	7	7	skill('Fire Synergies'.clc1)*par8										0
Trap Augmentation	882		trap augmentation																																																																																																																												1	7		rng												A1	A1	xx				1													1			1										1	30														0	0					1	7	8	1	1								1			lvl																																				1								8																																						0
Lightning Pierce Aura	883		lightning pierce aura		66																		41603	lightningpierceaura	lightningpierceaura		"min(ln12,30)"	lightresist	-lvl																																																																																																		1	6		none														xx																	1													30	20								1						0	1					0	8	0	0	1	1	1		10																			15	radius	1	additional radius per level																					1								8																																						0
Lightning Warp	884		lightning warp		27										lightningwarp																																																																															sorceress_cast_lightning											light_cast_1									lightningwarp											1		1	0		none												SC	SC	xx																	1			1		1	2				light_cast_1	light_cast_1		12	20								1				clc6		1	1					1	8	5	1	1	1										15+lvl/8								max(1,((stat('item_corrupted'.accr)>19)*stat('item_aegis_of_corruption'.accr)*100))		max(0,(125*100-125*stat('item_skill_cooldown'.accr))/100)																6	damage synergy									1								8															ltng	1						15	15	25	45	65	85	((100+skill('Lightning Synergies'.clc1)*par8)*(100+clc5)/100)-100										0
Incinerate Proc	885		incinerate		11													incinerateproc																																																																													diablo_laser_cast									diablo_laser_cast	fire_cast_2				19						incinerateproc												1	0		rng												SQ	SQ	A1	18	10															1	1	1	1							diablo_laser_cast	fire_cast_2		30	20								1						1	1	1			6	0	7	12	1	1											1	Range (Duration of Missile) (Min=1)	20	Duration to channel if caster is a Monster (Min=1)									35	Range baseline (Duration of missile)	2	Range per level (Duration of missile)	4	Min Mana required to start casting									6	Damage synergy									1								5															fire	4	4	5	6	6	6	5	5	6	7	7	7	skill('Fire Synergies'.clc1)*par8										0
Fire Pierce Aura	886		fire pierce aura		66																		41603	firepierceaura	firepierceaura		"min(ln12,30)"	fireresist	-lvl																																																																																																		1	6		none														xx																	1													30	20								1						0	1					0	8	0	0	1	1	1		10																			15	radius	1	additional radius per level																					1								8																																						0
Strafe Magic Conversion	887		strafe magic conversion																																																																																																																												1	6		none														xx																	1													30	20								1						0	0					0	8	0	0	1								1																																							1								8																																						0
Curse Enhancement	888		curse enhancement																																																																																																																												1	6		none														xx																	1													30	20								1						0	0					0	8	0	0	1								1																																							1								8																																						0
Fire Brand	889		fire brand		80													firebrand																																																																																											36						firebrand												1	7		none												SC	SC	xx					4			1							1		1			1			4							30	20														1	1					1	8	10	1	1																																															1								8	128														fire																							0
Cold Brand	890		cold brand		80													coldbrand																																																																																											36						coldbrand												1	7		none												SC	SC	xx					4			1							1		1			1			4							30	20														1	1					1	8	10	1	1																																															1								8	128														cold																							0
Lightning Brand	891		lightning brand		80													lightningbrand																																																																																											36						lightningbrand												1	7		none												SC	SC	xx					4			1							1		1			1			4							30	20														1	1					1	8	10	1	1																																															1								8	128														ltng																							0
Poison Brand	892		poison brand		80													poisonbrand																																																																																											36						poisonbrand												1	7		none												SC	SC	xx					4			1							1		1			1			4							30	20														1	1					1	8	10	1	1																																															1								8	128														pois														2									0
Magic Brand	893		magic brand		80													magicbrand																																																																																											36						magicbrand												1	7		none												SC	SC	xx					4			1							1		1			1			4							30	20														1	1					1	8	10	1	1																																															1								8	128														mag																							0
Wind Brand	894		wind brand		80													windbrand																																																																																											36						windbrand												1	7		none												SC	SC	xx					4			1							1		1			1			4							30	20														1	1					1	8	10	1	1																																															1								8	128																																					0
Fire Cascade	895		fire cascade		18										firecascade									firecascade		7		skillcontrol2	1																																																																	sorceress_cast_fire											fire_cast_2									firecascade													1	3		none												A1	A1	xx																	1			1			1							30	20													skill('Attack'.clc6)	1	1					1	7	6	2	1											3+lvl/5						(stat('skillcontrol2'.accr)>0)?1:4																														1								8	64														fire																							0
Raise Skeletal Mage Level Bonus	896		raise skeletal mage level bonus																																																																																																																												1	6		none														xx																	1													30	20								1						0	0					0	8	0	0	1								1																																							1								8																																						0
Orb of the Mist	897		orb of the mist												orbofthemist																																																																																																			orbofthemist													1	6		rng		miss										A1	A1	A1				1													1			1										30	20													skill('Attack'.clc6)	1	1					1	8	5	1	1											3+lvl/5																																				1	10		10*lvl					8	32														cold														25	5	5	5						0
Mosaic Repeat Chance	898		mosaic repeat chance																																																																																																																												1	6		none														xx																	1													30	20								1						0	0					0	8	0	0	1								1																																							1								8																																						0
Shared Savagery	899		shared savagery																																																																																																																												1	6		none														xx																	1													30	20								1						0	0					0	8	0	0	1								1																																							1								8																																						0
Wooden Skin	900		wooden skin		65																		73731	woodenskin	woodenskin			maxfireresist	stat('strength'.accr)/1000	maxcoldresist	stat('strength'.accr)/1000	maxlightresist	stat('strength'.accr)/1000	maxpoisonresist	stat('strength'.accr)/1000	maxmagicresist	stat('strength'.accr)/1000																																																																																										1	8		none														xx																	1													-5	30								1						0	0					0	8	0	0	1	1	1		5																																											1								8																																						0
Devastating Overwhelm	901		devastating overwhelm	6	11													devastatingoverwhelm	devastatingoverwhelm	devastatingoverwhelm																																																																											barbarian_grunt_small_1	1													19						devastatingoverwhelm	devastatingoverwhelm	devastatingoverwhelm										1	7		h2h		mele										A2	A2	A1				1		1	1								1		1			1					1					18	20												clc6		1	1					1	8	4	1	1											1	# of missiles					1				max(0,(150-stat('strength'.accr)/35))																										1	15		lvl*15					8	192																																					0
Lothar Wrath	902		lothar wrath		28													lotharwrath	lotharwrath	lotharwrath																																																																										paladin_handofgod_cast															28						lotharwrath	lotharwrath	lotharwrath										1	0		none												SC	SC	xx																	1			1										30	20								1				clc6		1	1					1	8	5	1	1											6	radius							max(1,((stat('item_corrupted'.accr)>19)*stat('item_aegis_of_corruption'.accr)*100))		max(25,(125*100-125*stat('item_skill_cooldown'.accr))/100)																6	damage synergy									1								8		9	9	9	14	14	14	10	10	10	15	15	15	((100+((100+skill('Physical Synergies'.clc1)*par8)*(100+stat('passive_summ_mastery'.accr))/100-100))*(100+clc5)/100)-100	mag	9	9	9	14	14	14	10	10	10	15	15	15	((100+((100+skill('Magic Synergies'.clc1)*par8)*(100+stat('passive_summ_mastery'.accr))/100-100))*(100+clc5)/100)-100										0
Fists of Fire Discharge	903		fists of fire discharge		28													fistsoffiredischarge	fistsoffiredischarge	fistsoffiredischarge																																																																																									28						fistsoffiredischarge	fistsoffiredischarge	fistsoffiredischarge										1	0		h2h		mele										A1	A1	A1				1		1	1								1		1			1										6	20														1	1					1	7	2	1	1											1						(((skill('Mosaic Repeat Chance'.lvl)>0)*(stat('randomgenerator'.accr)>800))>0)?1:2						5	Radius of explosion	8	Radius of firewall fragments	4500	duration	50	tohit bonus for each charge-up					5	fire duration synergy	7	dmg synergy									1								8															fire	8	8	16	20	20	20	12	12	24	32	32	32	(skill('Claws of Thunder'.blvl)+skill('Blades of Ice'.blvl)+skill('Royal Strike'.blvl)+skill('Blade Nova'.blvl))*par8						4				0
Claws of Thunder Discharge	904		claws of thunder discharge		28													clawsofthunderdischarge	clawsofthunderdischarge	clawsofthunderdischarge																																																																																									28						clawsofthunderdischarge	clawsofthunderdischarge	clawsofthunderdischarge										1	0		h2h		mele										A1	A1	xx				1		1	1								1		1			1										18	20														1	1					1	8	4	0	1											1						(((skill('Mosaic Repeat Chance'.lvl)>0)*(stat('randomgenerator'.accr)>800))>0)?1:2						4	skip			4500	duration	50	tohit bonus for each charge-up							7	AR synergy									1								8															ltng	1						24	24	48	56	56	56	(skill('Fists of Fire'.blvl)+skill('Blades of Ice'.blvl)+skill('Royal Strike'.blvl)+skill('Blade Nova'.blvl))*par8						4				0
Blades of Ice Discharge	905		blades of ice discharge		28													bladesoficedischarge	bladesoficedischarge	bladesoficedischarge																																																																																									28						bladesoficedischarge	bladesoficedischarge	bladesoficedischarge										1	0		h2h		mele										A1	A1	xx				1		1	1								1		1			1										24	20														1	1					1	8	4	0	1											1						(((skill('Mosaic Repeat Chance'.lvl)>0)*(stat('randomgenerator'.accr)>800))>0)?1:2						8	Second level radius	4	Third level radius	4500	duration	50	tohit bonus for each charge-up	1	freeze length divisor			5	duration synergy	7	AR synergy									1								8															cold	8	8	14	18	18	18	12	12	22	30	30	30	(skill('Fists of Fire'.blvl)+skill('Claws of Thunder'.blvl)+skill('Royal Strike'.blvl)+skill('Blade Nova'.blvl))*par8	25	5	5	5		4				0
Corrupted Poison Nova	906		corrupted poison nova		22													poisonnovadru	poisonnovadru	poisonnovadru																																																																										necromancer_poison_cast															25						poisonnovadru	poisonnovadru	poisonnovadru		0	Missile Velocity Adder							1	3		none												SC	SC	xx																	1			36	10						necromancer_poison_cast			30	20								2	elementalform			clc6		1	1					1	8	57	3	1																			max(1,((stat('item_corrupted'.accr)>19)*stat('item_aegis_of_corruption'.accr)*100))		max(50,(250*100-250*stat('item_skill_cooldown'.accr))/100)																6	damage synergy									1								7															pois	3	3	4	6	6	6	4	4	6	8	8	8	((100+(skill('Physical Synergies'.clc1)+skill('Cold Synergies'.clc1)+skill('Fire Synergies'.clc1))*par8)*(100+clc5)/100)-100	125									0
Warm Up	907		warm up		18																			red		15		attackrate	lvl*2	velocitypercent	lvl*2	item_fastercastrate	lvl*2	manarecoverybonus	lvl*10	hpregen	lvl*100																																																									sorceress_cast_fire											fire_cast_2																						1	3		none												A1	A1	xx																	1			1			1				sorceress_cast_fire	fire_cast_2		30	20														1	1					1	7	6	2	1																																															1								8																																						0
Spirit of Nature Mastery	908		spirit of nature mastery																																																																																																																												1	6		none														xx																	1													30	20								1						0	0					0	8	0	0	1								1																																							1								8																																						0
Icon of Sin Passive	909		icon of sin passive																																																																																																																												1	6		none														xx																	1													30	20								1						0	0					0	8	0	0	1								1																																							1								8																																						0
Guardian Angel	910		guardian angel												timelapse																																																																																										teleport																						1	7		rng												A1	A1	xx				1													1			1										6	30														1	1					1	7	8	1	1											(stat('hitpoints'.accr)<128000)*50																																				1								8																																						0
Blaze Synergy Enhancement	911		blaze synergy enhancement																																																																																																																												1	6		none														xx																	1													30	20								1						0	0					0	8	0	0	1								1																																							1								8																																						0
Frozen Blast Lightning Enhancement	912		frozen blast lightning enhancement																																																																																																																												1	6		none														xx																	1													30	20								1						0	0					0	8	0	0	1								1																													7	damage synergy									1								3															ltng	3	3	5	6	6	6	4	4	7	8	8	8	(skill('Elemental Form'.blvl)+skill('Monsoon'.blvl)+skill('Cyclone Armor'.blvl)+skill('Hurricane'.blvl)+skill('Whirlpool'.blvl))*par8										0
Cataclysm Enhancement	913		cataclysm enhancement																																																																																																																												1	6		none														xx																	1													30	20								1						0	0					0	8	0	0	1								1																													7	damage synergy									1								3																																						0
Monsoon Enhancement	914		monsoon enhancement																																																																																																																												1	6		none														xx																	1													30	20								1						0	0					0	8	0	0	1								1																													7	damage synergy									1								3																																						0
Winged Embrace	915		winged embrace		8										wingedembrace			wingedembracesec	wingedembracesec	wingedembracesec																																																																										sorceress_cast_cold											ice_cast_3				17					wingedembrace	wingedembracesec	wingedembracesec	wingedembracesec										1	8		none												SC	SC	SC																	1			1							sorceress_cast_cold			30	20												clc6		1	1					1	8	50	3	1											1								max(1,((stat('item_corrupted'.accr)>19)*stat('item_aegis_of_corruption'.accr)*100))		max(40,(200*100-200*stat('item_skill_cooldown'.accr))/100)																6	damage synergy									1								8															cold	10	10	10	15	15	15	12	12	12	18	18	18	skill('Magic Synergies'.clc1)*par8	200	25	25	25						0
Umbral Flight	916		umbral flight		27										umbralflight																																																																															sorceress_cast_fire											fire_cast_2									umbralflight											1		1	0		none												SC	SC	xx																	1			1		1	2				sorceress_cast_fire	fire_cast_2		12	20								1				clc6		1	1					1	8	5	1	1	1										15+lvl/8								max(1,((stat('item_corrupted'.accr)>19)*stat('item_aegis_of_corruption'.accr)*100))		max(0,(125*100-125*stat('item_skill_cooldown'.accr))/100)																6	damage synergy									1								8															mag	5	5	10	20	30	40	10	10	15	25	35	45	((100+((100+skill('Magic Synergies'.clc1)*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100))*(100+clc5)/100)-100										0
Holy Auras Enhancement	917		holy auras enhancement																																																																																																																												1	6		none														xx																	1													30	20								1						0	0					0	8	0	0	1								1																																							1								8																																						0
Fist of the Heavens Enhancement	918		fist of the heavens enhancement																																																																																																																												1	6		none														xx																	1													30	20								1						0	0					0	8	0	0	1								1																																							1								8																																						0
Holy Freeze Enhancement	919		holy freeze enhancement																																																																																																																												1	6		none														xx																	1													30	20								1						0	0					0	8	0	0	1								1																																							1								8																																						0
Degen Curse Cold	920		degen curse cold		28													degencursecold	degencursecold	degencursecold			98304		teal	ln12		hpregen	-exma																																																																	paladin_handofgod_cast															28						degencursecold	degencursecold	degencursecold										1	0		none												SC	SC	xx																	1			1										30	20								1				clc6		1	1					1	8	5	1	1											-exma		(stat('coldresist'.accr)<0)?(100+stat('coldresist'.accr)):(100+stat('coldresist'.accr))																																		1								8															cold							1	1	2	3	4	5	(stat('coldresist'.accr)>99)?0:(100-stat('coldresist'.accr))*10000										0
Hydra Baal's Vile Whisper	921		hydra	14	144																																												passive_ltng_mastery	stat('passive_ltng_mastery'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce'.accr)	item_pierce_light_immunity	stat('item_pierce_light_immunity'.accr)																							hydra4	hydrabaalvilewhisper	clc6?45:9	S2	HydraMissile	lvl	Charged Bolt	skill('Charged Bolt'.blvl)	Lightning	skill('Lightning'.blvl)	Thunder Storm Sorc	skill('Thunder Storm Sorc'.blvl)	Chain Lightning	skill('Chain Lightning'.blvl)			1	sorceress_cast_lightning											light_cast_1			17																			1	7		none												SC	SC	S1					4												1			1					1		sorceress_cast_fire	fire_cast_2		12	20					Lightning									1	1					1	7	20	1	1											ln12										((stat('fireresist'.accr)+stat('coldresist'.accr)+stat('lightresist'.accr))>999)*(stat('item_hydracapincrease'.accr)>0)		150	duration	0	additional duration/level									5	duration synergy	6	damage synergy									1								7															ltng	1						10	10	15	20	20	20	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Thunder Storm Sorc'.blvl)+skill('Chain Lightning'.blvl))*par8										0
Poison Spine Mon Uber	922			6	11													poisonspinemain	poisonspinemain																																																																																										19						poisonspinemain	poisonspinemain											1	8		none												A1	A1	A1															1		1													24	20														1	1					1	8	5	1												1																																				1								8															pois	2						4						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50	25									0
Teleport Mon Uber	923				27										teleportmonasc																																																																															sorceress_teleport											teleport									teleportmonasc											1		1	0		none												SC	SC	xx																	1			1		1	2				sorceress_teleport	teleport		18	25														1	1					1	5	80	-1		1																																														1								8															fire	5						10						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50										0
Bone Spirit Melee Mon Uber	924														bonespiritasc																																																																															necromancer_bone_cast																				bonespiritasc													1	7		none												SC	SC	SC																	1			1			4				necromancer_bone_cast			24	20														1	1					1	8	16	1																																						5	damage synergy									1								8															mag	3						5						(100+(ulvl/(1+5/ulvl))*(1+ulvl/50)*50)*(100+stat('passive_mag2_mastery'.accr))/100-100										0
Ice Shard Mon Uber	925				8													iceshardasc	iceshardasc																																																																																										17						iceshardasc	iceshardasc											1	8		none												A1	A1	A1															1		1													24	20														1	1					1	8	5	1												3																																				1								8															cold	5						10						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50	25				ulvl*10					0
Paralyze Melee Mon Uber	926				30																		3		paralyze	25	5	velocitypercent	-150	magicresist	-50																																																																														30								cursecast										1	9		none												SC	SC	SC																	1			1							necromancer_curse_cast																																																																											1								8																																						0
Blink Strike Mon Uber	927				27										blinkstrikemonuber																																																																															druid_windcast																				blinkstrikemonuber											1		1	0		none												SC	SC	xx																	1			1		1	2							12	20								1						1	1					1	8	5	1		1																																														1								8	192																																					0
Shuriken Nova Mon Uber	928														shurikennovamonuber																																																																															assassin_bladeshield																				shurikennovamonuber													1	0		none												SC	SC	xx																	1			1										12	20								1						1	1					1	8	5	1		1																																														1								8	13														pois														1									0
Glacial Spike Mon Uber	929														glacialspikemonuber											150	10																																																																			sorceress_cast_cold											ice_cast_2									glacialspikemonuber													1	7		none												SC	SC	SC																	1			1							sorceress_cast_cold			12	20														1	1					1	7	20	1																																																1								8															cold	10						12						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50	25				ulvl*10					0
Ice Storm Mon Uber	930			17	63													icestormmonuber					3																																																																						1	druid_windcast								impact_shatter_1			ice_cast_3			21	33						corpseexplosion	icestormmonuber	bluelightmissile										1	0		none												A2	A2	A2								1		1	1						1			1			3				necromancer_corpse_cast			24	20					Hurricane									0	1					1	7	40	3																																						5	damage synergy									1								8															cold	3						4						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50	25				ulvl*10					0
Cold Curse Mon Uber	931														coldcursemonuber								3		blue	75	ln12	velocitypercent	-150	coldresist	-50																																																															beholder_cast_2																				coldcursemonuber													1	9		none												A2	A2	A2																	1			1																																																																																		1								8																																						0
Triumvirate Orb	932		triumvirate orb												triumvirate																																																																																																			triumvirate													1	6		none												SC	SC	SC																	1			1										30	20														1	1					1	8	100	0	1											stat('item_corrupted'.accr)*10	orb damage boost																																			1								7															fire	2	2	2	3	3	3	3	3	3	4	4	4	clc1										0
Blue Fire Orb Mon Uber	933														bluefireorbmonuber		1						3		blue	25		velocitypercent	-50	coldresist	-50	attackrate	-50	item_fastercastrate	-50																																																																															bluefireorbmonuber													1	0		none												A1	A1	A1																	1			1										30	20														1	1					1	7	12	1																																																1								8															cold	2						3						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50										0
Blue Fire Nova Mon Uber	934														bluefirenovamonuber								3		blue	25		velocitypercent	-50	coldresist	-50	attackrate	-50	item_fastercastrate	-50																																																																															bluefirenovamonuber													1	0		none												A1	A1	A1																	1			1										30	20														1	1					1	7	12	1																																																1								8															cold	1						2						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50										0
Low Life Enrage Mon Uber	935				18																			woodenskin		1500		attackrate	clc1*50	velocitypercent	clc1*100	hpregen	clc1*1000000	damageresist	clc1*20																																																																																												1	3		none												A1	A1	xx																	1			1			1							30	20														1	1					1	7	6	2												(stat('hitpoints'.accr)*4)<stat('maxhp'.accr)																																				1								8																																						0
Enrage Mon Uber	936				68													increasingenrage					3	red	red	50		damagepercent	100	velocitypercent	50	damageresist	20																																																																												25						increasingenrage												1	9		none												SC	SC	A1				1													1			36	10									6	20														1	1					1	8	15	0		1	1		5													50																														1								8																																						0
Poison Flurry Mon Uber	937														poisonflurrymonuber																																																																																																			poisonflurrymonuber													1	0		none												A1	A1	A1																	1			1										30	20														1	1					1	7	12	1																																																1								7															pois	2						4						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50	25									0
Shockwave Nova Mon Uber	938														shockwavenovamonuber																																																																																																			shockwavenovamonuber													1	0		none												A1	A1	A1																	1			1										30	20														1	1					1	7	12	1																																																1								8		10						15						(100+(ulvl/(1+5/ulvl))*(1+ulvl/50)*50)*(100+stat('passive_wind_mastery'.accr))/100-100	stun														50									0
Poison Flurry Rain Mon Uber	939				43						5							poisonflurryrainmonuber									15																																																																																		5						poisonflurryrainmonuber												1	0		rng												A1	A1	A1																	1			1										30	20														1	1					1	7	12	1																																																1								7															pois	2						4						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50	25									0
Spawn Rats Mon Uber	940														spawnratsmonuber																																																																																																			spawnratsmonuber													1	0		none												A1	A1	A1																	1			1										30	20														1	1					1	7	12	1																																																1								8																																						0
Varying Lightning Damage Mon Uber	941				65																		73731	woodenskin	woodenskin			passive_ltng_mastery	rand(0,150)																																																																																																		1	8		none														xx																	1													-5	30								1						0	0					0	8	0	0		1	1		5																																											1								8																																						0
Lightning Nova Mon Uber	942			6	11													lightningnovamonuber	lightningnovamonuber																																																																																										19						lightningnovamonuber	lightningnovamonuber											1	8		none												A1	A1	A1															1		1													24	20														1	1					1	8	5	1												1																																				1								8															ltng	1						25						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50										0
Time Lapse Mon Uber	943														timelapse																																																																																										teleport																						1	7		rng												A1	A1	xx				1													1			1										6	30														1	1					1	7	8	1												lvl*2																																				1								8																																						0
Heat Seeking Arrow Mon Uber	944														heatseekingarrowmonuber																																																																																																			heatseekingarrowmonuber													1	0		none												A1	A1	A1																	1			1										30	20														1	1					1	7	12	1																																																1								8	128														fire																							0
Ground Slam Mon Uber	945				8													groundslammonuberbolt	groundslammonuberbolt	groundslammonuberbolt																																																																																									17						groundslammonuberbolt	groundslammonuberbolt	groundslammonuberbolt										1	0		h2h												A1	A1	A1				1													1			1										30	20														1	1					1	7	12	1												8				8																																1								8	64																																					0
Dismemberment Mon Uber	946														dismembermentmonuber																																																																																																			dismembermentmonuber													1	0		none												A1	A1	A1																	1			1										30	20														1	1					1	7	12	1																																																1								8		4						5						(100+(ulvl/(1+5/ulvl))*(1+ulvl/50)*50)*(100+stat('passive_wind_mastery'.accr))/100-100																								0
Bloodpact Curse Mon Uber	947				28													bloodpactcursemonuber	bloodpactcursemonuber	bloodpactcursemonuber			3		ironmaiden	150		hpregen	-stat('maxhp'.accr)/500																																																																	necromancer_curse_cast																																	1	10		none												SC	SC	S2					4												1			1							necromancer_curse_cast			6	20														1	1					1	8	4	0												(stat('hitpoints'.accr)*2)>stat('maxhp'.accr)																																				1								8																																						0
Increasing Power Mon Uber	948				68													increasingpowermonuber						maul		100		skillcontrol	stat('skillcontrol'.accr)+1	damagepercent	stat('skillcontrol'.accr)*20	attackrate	stat('skillcontrol'.accr)*10																																																																												25						increasingpowermonuber												1	9		none												SC	SC	A1																	1			1			1							6	20								1						1	1					1	8	15	0		1																																														1								8																																						0
Increasing Multiple Shot Mon Uber	949				8													increasingmultipleshot	increasingmultipleshot	increasingmultipleshot																																																																																									17						increasingmultipleshot	increasingmultipleshot	increasingmultipleshot										1	0		h2h												A1	A1	A1				1													1			1										30	20														1	1					1	7	12	1												1+stat('skillcontrol'.accr)				1+stat('skillcontrol'.accr)																																1								8	128																																					0
Poison Lob Mon Uber	950														poisonlobmonuber		1																																																																																																	poisonlobmonuber													1	0		none												A1	A1	A1																	1			1										30	20														1	1					1	7	12	1																																																1								7															pois	3						4						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50	10									0
